weeks,model,accuracy,f1,auc
4,baseline,0.8608,0.9236172080772608,0.8252113713359847
4,experimental,0.864,0.9253075571177505,0.8241213728089556
8,baseline,0.8672,0.9274475524475524,0.8378553542495213
8,experimental,0.8688,0.9283216783216783,0.8331035498600677
